SOURCE NODE ID,TARGET NODE ID,SCENE ID,DIALOGUE ID
"48","47","1","1"
"48","47","59","256"
"48","49","59","256"
"49","47","59","256"
"51","57","49","178"
"51","58","50","204"
"51","69","49","177"
"51","107","49","177"
"51","107","49","178"
"51","110","49","177"
"51","111","49","178"
"51","111","50","192"
"52","50","4","7"
"52","51","50","204"
"52","57","5","19"
"52","58","5","19"
"52","58","50","204"
"52","59","5","19"
"52","60","5","19"
"52","61","5","19"
"52","66","13","74"
"52","83","42","161"
"52","109","49","175"
"53","51","42","163"
"54","84","42","157"
"54","86","21","117"
"54","95","21","117"
"55","52","13","74"
"55","59","6","28"
"55","61","6","28"
"55","64","13","76"
"55","65","6","28"
"55","66","13","74"
"55","72","14","86"
"55","87","24","122"
"56","51","50","192"
"56","55","4","18"
"56","111","50","192"
"57","55","6","28"
"57","58","5","19"
"57","59","5","19"
"57","59","6","28"
"57","60","5","19"
"57","61","5","19"
"57","61","6","28"
"57","65","6","28"
"57","71","8","42"
"57","111","49","178"
"58","57","8","42"
"58","57","22","120"
"58","66","42","153"
"58","71","8","42"
"58","83","38","146"
"58","103","63","279"
"58","136","63","279"
"59","52","9","50"
"59","55","5","22"
"59","57","22","120"
"59","58","5","19"
"59","58","22","120"
"59","58","38","146"
"59","70","7","39"
"59","83","38","146"
"59","98","38","148"
"60","58","5","19"
"60","59","5","19"
"60","91","20","112"
"61","52","9","50"
"61","58","5","19"
"61","59","5","19"
"61","59","6","28"
"61","59","9","50"
"61","60","5","19"
"61","75","9","50"
"62","59","5","24"
"62","63","5","24"
"63","58","63","279"
"63","59","5","24"
"63","59","5","25"
"63","83","63","279"
"63","103","63","279"
"63","136","63","279"
"64","55","6","28"
"64","57","6","28"
"64","59","6","28"
"64","61","6","28"
"64","65","6","28"
"64","78","16","94"
"65","59","6","28"
"65","61","6","28"
"66","88","20","109"
"69","110","49","177"
"71","86","35","139"
"72","69","16","93"
"72","131","58","229"
"73","52","9","50"
"73","59","9","50"
"73","61","9","50"
"73","75","9","50"
"74","52","9","50"
"74","59","9","50"
"74","61","9","50"
"74","73","9","50"
"74","75","9","50"
"75","52","9","50"
"75","59","9","50"
"83","58","63","279"
"83","103","63","279"
"83","136","63","279"
"84","51","50","204"
"84","52","50","204"
"84","58","50","204"
"84","111","50","204"
"86","54","35","140"
"89","66","20","109"
"89","88","20","109"
"93","94","21","114"
"95","86","21","117"
"96","57","22","120"
"96","58","22","120"
"96","59","22","120"
"97","54","35","140"
"97","81","27","124"
"97","86","35","140"
"100","58","42","153"
"100","66","42","153"
"103","49","59","265"
"103","52","42","161"
"103","58","42","162"
"103","83","42","161"
"103","114","59","265"
"103","135","59","265"
"107","57","49","173"
"107","57","49","178"
"107","62","49","185"
"107","66","49","171"
"107","69","49","177"
"107","108","49","171"
"107","110","49","177"
"107","111","49","178"
"107","112","49","185"
"108","66","49","171"
"111","51","50","204"
"111","52","50","204"
"111","58","50","204"
"112","49","58","228"
"112","62","49","185"
"114","49","59","265"
"114","135","59","265"
"127","49","59","265"
"127","103","59","265"
"127","114","59","265"
"127","135","59","265"
"134","47","59","256"
"134","48","59","256"
"134","49","59","256"
"135","49","59","265"
"136","103","63","279"
"137","97","64","281"
